time,i_mod_avg,i_mod_rms,u_bat
0.0,19.66647,19.66647,4.01866765
1.0,19.66647,19.66647,4.003522724118609
2.0,19.66647,19.66647,3.9893393579332024
3.0,19.66647,19.66647,3.9760568844458613
4.0,19.66647,19.66647,3.9636183709058646
5.0,19.66647,19.66647,3.95196992759196
6.0,19.66647,19.66647,3.9410607078123756
7.0,19.66647,19.66647,3.930842907904813
8.0,19.66647,19.66647,3.921270298782151
9.0,19.66647,19.66647,3.912297988948834
10.0,19.66647,19.66647,3.9038910880089333
11.0,19.66647,19.66647,3.8960165576493107
12.0,19.66647,19.66647,3.8886425082275826
13.0,19.66647,19.66647,3.8817381987721253
14.0,19.66647,19.66647,3.8752740369820655
15.0,19.66647,19.66647,3.8692215792272924
16.0,19.66647,19.66647,3.863553530548447
17.0,19.66647,19.66647,3.858243744656928
18.0,19.66647,19.66647,3.853267223934895
19.0,19.66647,19.66647,3.848600119435254
20.0,19.66647,19.66647,3.844219782100494
21.0,19.66647,19.66647,3.840107374345971
22.0,19.66647,19.66647,3.8362486344896665
23.0,19.66647,19.66647,3.832629938740557
24.0,19.66647,19.66647,3.829237986141191
25.0,19.66647,19.66647,3.826059798567697
26.0,19.66647,19.66647,3.8230827207297797
27.0,19.66647,19.66647,3.820294420170719
28.0,19.66647,19.66647,3.8176828872673743
29.0,19.66647,19.66647,3.815236435230175
30.0,19.66647,19.66647,3.812943700103135
31.0,19.66647,19.66647,3.810793640763839
32.0,19.66647,19.66647,3.8087755389234497
33.0,19.66647,19.66647,3.806878999126709
34.0,19.66647,19.66647,3.8050939487519306
35.0,19.66647,19.66647,3.8034113528478684
36.0,19.66647,19.66647,3.8018261399109825
37.0,19.66647,19.66647,3.8003340107640597
38.0,19.66647,19.66647,3.7989306493066666
39.0,19.66647,19.66647,3.7976117606598314
40.0,19.66647,19.66647,3.7963730711660384
41.0,19.66647,19.66647,3.7952103283892322
42.0,19.66647,19.66647,3.7941193011148138
43.0,19.66647,19.66647,3.793095779349645
44.0,19.66647,19.66647,3.792135574322045
45.0,19.66647,19.66647,3.791234518481788
46.0,19.66647,19.66647,3.7903884655001105
47.0,19.66647,19.66647,3.789593290269709
48.0,19.66647,19.66647,3.7888448889047317
49.0,19.66647,19.66647,3.7881391787407925
50.0,19.66647,19.66647,3.7874720983349563
51.0,19.66647,19.66647,3.7868396074657524
52.0,19.66647,19.66647,3.7862376871331653
53.0,19.66647,19.66647,3.785664099155249
54.0,19.66647,19.66647,3.7851188652082826
55.0,19.66647,19.66647,3.7846011414611387
56.0,19.66647,19.66647,3.784110044514749
57.0,19.66647,19.66647,3.783644652305965
58.0,19.66647,19.66647,3.783204004107562
59.0,19.66647,19.66647,3.782787100528241
60.0,19.66647,19.66647,3.7823929035126227
61.0,19.66647,19.66647,3.782020336341249
62.0,19.66647,19.66647,3.7816682836305873
63.0,19.66647,19.66647,3.7813355913330273
64.0,19.66647,19.66647,3.781021066736882
65.0,19.66647,19.66647,3.7807234784663852
66.0,19.66647,19.66647,3.7804415564816933
67.0,19.66647,19.66647,3.780173992078888
68.0,19.66647,19.66647,3.779919437889973
69.0,19.66647,19.66647,3.779676507882873
70.0,19.66647,19.66647,3.7794437773614353
71.0,19.66647,19.66647,3.779219782965432
72.0,19.66647,19.66647,3.7790030226705587
73.0,19.66647,19.66647,3.778791955788429
74.0,19.66647,19.66647,3.778585283695527
75.0,19.66647,19.66647,3.778384088949757
76.0,19.66647,19.66647,3.7781887880974048
77.0,19.66647,19.66647,3.777999427933017
78.0,19.66647,19.66647,3.777816026709753
79.0,19.66647,19.66647,3.7776385741393894
80.0,19.66647,19.66647,3.7774670313923187
81.0,19.66647,19.66647,3.777301331097549
82.0,19.66647,19.66647,3.7771413773427067
83.0,19.66647,19.66647,3.7769870456740313
84.0,19.66647,19.66647,3.7768381830963813
85.0,19.66647,19.66647,3.77669460807323
86.0,19.66647,19.66647,3.7765561105266667
87.0,19.66647,19.66647,3.7764224518373988
88.0,19.66647,19.66647,3.776293364844748
89.0,19.66647,19.66647,3.776168553846651
90.0,19.66647,19.66647,3.7760476945996664
91.0,19.66647,19.66647,3.775930434318963
92.0,19.66647,19.66647,3.7758163916783274
93.0,19.66647,19.66647,3.7757051568101647
94.0,19.66647,19.66647,3.775596291305493
95.0,19.66647,19.66647,3.77548932821395
96.0,19.66647,19.66647,3.7753837720437855
97.0,19.66647,19.66647,3.7752790987618687
98.0,19.66647,19.66647,3.775174755793687
99.0,19.66647,19.66647,3.775070162023337
100.0,19.66647,19.66647,3.774964707793538
101.0,19.66647,19.66647,3.774858219318362
102.0,19.66647,19.66647,3.774751968355308
103.0,19.66647,19.66647,3.7746462088038752
104.0,19.66647,19.66647,3.774541072100954
105.0,19.66647,19.66647,3.774436677263379
106.0,19.66647,19.66647,3.7743331308879227
107.0,19.66647,19.66647,3.774230527151305
108.0,19.66647,19.66647,3.774128947810182
109.0,19.66647,19.66647,3.7740284622011586
110.0,19.66647,19.66647,3.7739291272407796
111.0,19.66647,19.66647,3.773830987425528
112.0,19.66647,19.66647,3.7737340748318333
113.0,19.66647,19.66647,3.7736384091160677
114.0,19.66647,19.66647,3.773543997514542
115.0,19.66647,19.66647,3.773450834843515
116.0,19.66647,19.66647,3.773358903499181
117.0,19.66647,19.66647,3.7732681734576796
118.0,19.66647,19.66647,3.773178602275095
119.0,19.66647,19.66647,3.773090135087449
120.0,19.66647,19.66647,3.7730027046107097
121.0,19.66647,19.66647,3.7729162311407847
122.0,19.66647,19.66647,3.772830622553525
123.0,19.66647,19.66647,3.7727457743047244
124.0,19.66647,19.66647,3.7726615694301167
125.0,19.66647,19.66647,3.772577878545381
126.0,19.66647,19.66647,3.772494559846137
127.0,19.66647,19.66647,3.772411459107945
128.0,19.66647,19.66647,3.7723284096863114
129.0,19.66647,19.66647,3.7722452325166804
130.0,19.66647,19.66647,3.7721617361144433
131.0,19.66647,19.66647,3.772077716574931
132.0,19.66647,19.66647,3.771992957573414
133.0,19.66647,19.66647,3.771907230365109
134.0,19.66647,19.66647,3.7718202937851735
135.0,19.66647,19.66647,3.7717318969500626
136.0,19.66647,19.66647,3.7716424831140856
137.0,19.66647,19.66647,3.7715525926712967
138.0,19.66647,19.66647,3.7714623271872556
139.0,19.66647,19.66647,3.7713717827504922
140.0,19.66647,19.66647,3.7712810499725076
141.0,19.66647,19.66647,3.7711902139877718
142.0,19.66647,19.66647,3.77109935445373
143.0,19.66647,19.66647,3.771008545550789
144.0,19.66647,19.66647,3.7709178559823324
145.0,19.66647,19.66647,3.7708273489747137
146.0,19.66647,19.66647,3.770737082277257
147.0,19.66647,19.66647,3.7706471081622537
148.0,19.66647,19.66647,3.7705574734249696
149.0,19.66647,19.66647,3.7704682193836376
150.0,19.66647,19.66647,3.770379381879463
151.0,19.66647,19.66647,3.7702909912766205
152.0,19.66647,19.66647,3.770203072462259
153.0,19.66647,19.66647,3.7701156448464888
154.0,19.66647,19.66647,3.7700287223624005
155.0,19.66647,19.66647,3.7699423134660504
156.0,19.66647,19.66647,3.7698564211364642
157.0,19.66647,19.66647,3.7697710428756435
158.0,19.66647,19.66647,3.7696861707085527
159.0,19.66647,19.66647,3.769601791183131
160.0,19.66647,19.66647,3.769517885370288
161.0,19.66647,19.66647,3.7694344288639052
162.0,19.66647,19.66647,3.769351391780829
163.0,19.66647,19.66647,3.769268738760882
164.0,19.66647,19.66647,3.7691864289668544
165.0,19.66647,19.66647,3.7691044160845064
166.0,19.66647,19.66647,3.769022648322571
167.0,19.66647,19.66647,3.768941068412751
168.0,19.66647,19.66647,3.7688596136097168
169.0,19.66647,19.66647,3.768778215691111
170.0,19.66647,19.66647,3.76869680095755
171.0,19.66647,19.66647,3.7686152902326135
172.0,19.66647,19.66647,3.76853359886286
173.0,19.66647,19.66647,3.7684516367178102
174.0,19.66647,19.66647,3.7683693081899614
175.0,19.66647,19.66647,3.768286512194778
176.0,19.66647,19.66647,3.768203142170695
177.0,19.66647,19.66647,3.7681190860791225
178.0,19.66647,19.66647,3.768034226404434
179.0,19.66647,19.66647,3.767948440153977
180.0,19.66647,19.66647,3.7678615988580684
181.0,19.66647,19.66647,3.7677735685699982
182.0,19.66647,19.66647,3.767684178151809
183.0,19.66647,19.66647,3.7675931214563536
184.0,19.66647,19.66647,3.767500522100615
185.0,19.66647,19.66647,3.7674065831439427
186.0,19.66647,19.66647,3.7673114997213344
187.0,19.66647,19.66647,3.76721545904343
188.0,19.66647,19.66647,3.7671186403965153
189.0,19.66647,19.66647,3.7670212151425195
190.0,19.66647,19.66647,3.7669233467190146
191.0,19.66647,19.66647,3.7668251906392216
192.0,19.66647,19.66647,3.766726894491998
193.0,19.66647,19.66647,3.766628597941856
194.0,19.66647,19.66647,3.766530432728943
195.0,19.66647,19.66647,3.7664325226690543
196.0,19.66647,19.66647,3.7663349836536324
197.0,19.66647,19.66647,3.766237923649759
198.0,19.66647,19.66647,3.7661414427001643
199.0,19.66647,19.66647,3.7660456329232215
200.0,19.66647,19.66647,3.7659505785129435
201.0,19.66647,19.66647,3.765856355738996
202.0,19.66647,19.66647,3.765763032946685
203.0,19.66647,19.66647,3.76567067055696
204.0,19.66647,19.66647,3.7655793210664146
205.0,19.66647,19.66647,3.765489029047289
206.0,19.66647,19.66647,3.7653998311474655
207.0,19.66647,19.66647,3.765311756090472
208.0,19.66647,19.66647,3.7652248246754847
209.0,19.66647,19.66647,3.7651390497773125
210.0,19.66647,19.66647,3.7650544363464213
211.0,19.66647,19.66647,3.764970981408916
212.0,19.66647,19.66647,3.764888674066545
213.0,19.66647,19.66647,3.764807495496701
214.0,19.66647,19.66647,3.764727418952425
215.0,19.66647,19.66647,3.7646484097623985
216.0,19.66647,19.66647,3.764570425330949
217.0,19.66647,19.66647,3.7644934151380465
218.0,19.66647,19.66647,3.764417320739307
219.0,19.66647,19.66647,3.76434207576599
220.0,19.66647,19.66647,3.764267605925003
221.0,19.66647,19.66647,3.764193828998891
222.0,19.66647,19.66647,3.7641206548458492
223.0,19.66647,19.66647,3.764047985399715
224.0,19.66647,19.66647,3.7639757146699693
225.0,19.66647,19.66647,3.763903728741739
226.0,19.66647,19.66647,3.763831905775794
227.0,19.66647,19.66647,3.7637601160085516
228.0,19.66647,19.66647,3.7636882217520684
229.0,19.66647,19.66647,3.7636160773940492
230.0,19.66647,19.66647,3.763543529397841
231.0,19.66647,19.66647,3.7634704163024373
232.0,19.66647,19.66647,3.763396568722475
233.0,19.66647,19.66647,3.7633218093482337
234.0,19.66647,19.66647,3.7632459529456397
235.0,19.66647,19.66647,3.763168806356264
236.0,19.66647,19.66647,3.76309016849732
237.0,19.66647,19.66647,3.763009830361664
238.0,19.66647,19.66647,3.7629275750178035
239.0,19.66647,19.66647,3.762843177609882
240.0,19.66647,19.66647,3.762756405357691
241.0,19.66647,19.66647,3.762667017556668
242.0,19.66647,19.66647,3.7625747655778947
243.0,19.66647,19.66647,3.7624793928680926
244.0,19.66647,19.66647,3.7623806349496327
245.0,19.66647,19.66647,3.7622789208471152
246.0,19.66647,19.66647,3.7621753544976357
247.0,19.66647,19.66647,3.762070291434017
248.0,19.66647,19.66647,3.761964063471896
249.0,19.66647,19.66647,3.761856985020554
250.0,19.66647,19.66647,3.7617493530829162
251.0,19.66647,19.66647,3.7616414472555535
252.0,19.66647,19.66647,3.76153352972868
253.0,19.66647,19.66647,3.7614258452861566
254.0,19.66647,19.66647,3.761318621305485
255.0,19.66647,19.66647,3.7612120677578162
256.0,19.66647,19.66647,3.7611063772079443
257.0,19.66647,19.66647,3.761001724814304
258.0,19.66647,19.66647,3.760898268328981
259.0,19.66647,19.66647,3.7607961480977012
260.0,19.66647,19.66647,3.7606954870598375
261.0,19.66647,19.66647,3.7605963907484066
262.0,19.66647,19.66647,3.7604989472900687
263.0,19.66647,19.66647,3.76040322740513
264.0,19.66647,19.66647,3.7603092844075405
265.0,19.66647,19.66647,3.760217154204895
266.0,19.66647,19.66647,3.760126855298436
267.0,19.66647,19.66647,3.7600383887830455
268.0,19.66647,19.66647,3.7599517383472514
269.0,19.66647,19.66647,3.75986687027323
270.0,19.66647,19.66647,3.7597837334368
271.0,19.66647,19.66647,3.759702259307421
272.0,19.66647,19.66647,3.759622361948202
273.0,19.66647,19.66647,3.7595439380158964
274.0,19.66647,19.66647,3.7594668667608993
275.0,19.66647,19.66647,3.7593910100272523
276.0,19.66647,19.66647,3.7593162122526436
277.0,19.66647,19.66647,3.7592423004684012
278.0,19.66647,19.66647,3.759169084299501
279.0,19.66647,19.66647,3.759096355964563
280.0,19.66647,19.66647,3.759023890275854
281.0,19.66647,19.66647,3.7589514446392798
282.0,19.66647,19.66647,3.758878759054397
283.0,19.66647,19.66647,3.758805556114402
284.0,19.66647,19.66647,3.758731541006138
285.0,19.66647,19.66647,3.7586564015100943
286.0,19.66647,19.66647,3.758579808000402
287.0,19.66647,19.66647,3.758501413444839
288.0,19.66647,19.66647,3.758420853404826
289.0,19.66647,19.66647,3.7583377460354304
290.0,19.66647,19.66647,3.758251692085361
291.0,19.66647,19.66647,3.7581622748969745
292.0,19.66647,19.66647,3.758069060406272
293.0,19.66647,19.66647,3.757971597142897
294.0,19.66647,19.66647,3.7578698826580954
295.0,19.66647,19.66647,3.7577660250383853
296.0,19.66647,19.66647,3.757660631423016
297.0,19.66647,19.66647,3.757554022129982
298.0,19.66647,19.66647,3.757446500982843
299.0,19.66647,19.66647,3.7573383553107296
300.0,19.66647,19.66647,3.7572298559483412
301.0,19.66647,19.66647,3.7571212572359394
302.0,19.66647,19.66647,3.757012797019364
303.0,19.66647,19.66647,3.7569046966500124
304.0,19.66647,19.66647,3.7567971609848607
305.0,19.66647,19.66647,3.756690378386445
306.0,19.66647,19.66647,3.7565845207228725
307.0,19.66647,19.66647,3.756479743367821
308.0,19.66647,19.66647,3.7563761852005353
309.0,19.66647,19.66647,3.756273968605823
310.0,19.66647,19.66647,3.7561731994740724
311.0,19.66647,19.66647,3.7560739672012255
312.0,19.66647,19.66647,3.7559763446888037
313.0,19.66647,19.66647,3.755880388343892
314.0,19.66647,19.66647,3.755786138079144
315.0,19.66647,19.66647,3.7556936173127795
316.0,19.66647,19.66647,3.7556028329685947
317.0,19.66647,19.66647,3.7555137754759427
318.0,19.66647,19.66647,3.755426418769755
319.0,19.66647,19.66647,3.7553407202905236
320.0,19.66647,19.66647,3.7552566209843135
321.0,19.66647,19.66647,3.755174045302757
322.0,19.66647,19.66647,3.7550929012030547
323.0,19.66647,19.66647,3.7550130801479753
324.0,19.66647,19.66647,3.754934457105854
325.0,19.66647,19.66647,3.754856890550598
326.0,19.66647,19.66647,3.7547802224616786
327.0,19.66647,19.66647,3.75470427832414
328.0,19.66647,19.66647,3.7546288671285897
329.0,19.66647,19.66647,3.7545537813712087
330.0,19.66647,19.66647,3.7544787970537428
331.0,19.66647,19.66647,3.754403673683506
332.0,19.66647,19.66647,3.754328154273381
333.0,19.66647,19.66647,3.754251965341821
334.0,19.66647,19.66647,3.7541748169128457
335.0,19.66647,19.66647,3.754096402516043
336.0,19.66647,19.66647,3.7540163991865687
337.0,19.66647,19.66647,3.7539344674651485
338.0,19.66647,19.66647,3.753850251398074
339.0,19.66647,19.66647,3.753763378537206
340.0,19.66647,19.66647,3.7536734599399777
341.0,19.66647,19.66647,3.7535800901693834
342.0,19.66647,19.66647,3.7534828472939905
